Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
203.052682945384,C00221,M+Na [1+],1724.628,7.68293839996659e-05,EC00010
203.05271998889,C00221,M+Na [1+],277.978,0.000113872890011635,EC00011
203.052728767939,C00221,M+Na [1+],359.36,0.000122651938994522,EC0009
203.052743114194,C00221,M+Na [1+],316.6515,0.000136998193994486,EC0009
219.026700339592,C00221,M+K [1+],277.1125,0.000154223592005565,EC00011
219.026715441331,C00221,M+K [1+],314.3865,0.000169325331000891,EC0009
91.0388998333437,C00221,M+2H [2+],348.515,7.02246562980235e-05,EC0009
91.038935064777,C00221,M+2H [2+],438.0865,3.49932230108152e-05,EC0009
125.021075643973,C00232,M+Na [1+],513.402,0.000163585973012914,EC00037
125.021131775763,C00232,M+Na [1+],474.9575,0.000219717763002336,EC00037
474.173448547818,C00234,M+H [1+],728.161,0.000276422817989896,EC00078
152.057406125417,C00242,M+H [1+],662.4655,0.000720318417023691,EC00079
325.112957449347,C00243,M-H2O+H [1+],277.8195,6.94365770073091e-05,EC00033
325.113120232059,C00243,M-H2O+H [1+],324.472,0.000232219288989199,EC00034
343.123600572039,C00243,M+H [1+],325.041,0.000113026039002762,EC00034
126.022114573082,C00245,M+H [1+],324.472,0.000174788082006216,EC00080
126.022115329966,C00245,M+H [1+],276.229,0.000175544965998142,EC00081
148.004250394744,C00245,M+Na [1+],315.8255,0.000368609743986781,EC00080
148.004251230653,C00245,M+Na [1+],274.44,0.000369445653007006,EC00081
163.977697140957,C00245,M+K [1+],274.9085,0.000124644043012268,EC00081
168.065489548301,C00250,M+H [1+],306.842,2.96106989878808e-05,EC00082
168.065817545742,C00250,M+H [1+],437.603,0.000298386742002776,EC00083
325.112957449347,C00252,M-H2O+H [1+],277.8195,7.09825769718009e-05,EC00033
325.113120232059,C00252,M-H2O+H [1+],324.472,0.000233765288953691,EC00034
343.123600572039,C00252,M+H [1+],325.041,0.000114572038967253,EC00034
377.145697308955,C00255,M+H [1+],785.3815,0.000136916955000288,EC00084
399.127708109554,C00255,M+Na [1+],785.454,0.000205717554024432,EC00084
113.021096333443,C00256,M+Na [1+],350.5785,0.000184275443004367,EC00069
113.021230850236,C00256,M+Na [1+],438.166,0.000318792236001286,EC00069
91.0388998333437,C00256,M+H [1+],348.515,7.02246562980235e-05,EC00069
91.038935064777,C00256,M+H [1+],438.0865,3.49932230108152e-05,EC00069
