feature	Acetate	Butyrate	Caproate	Propionate	Valerate
6326	-0.499049734874845	-3.47519588696065	-8.94874722491899	-2.34742591882322	-7.9708020693022
6327	-0.491254353594113	-3.90516824100285	-9.61383444366481	-2.19605053633096	-8.74121101220486
6328	-0.57472803533763	-3.47784538073189	-9.78212845012565	-2.09238470314911	-8.28657654048157
6329	-0.6526155068267	-3.52536398663524	-9.28005611773951	-1.88250759532386	-7.89347490858642
6330	-0.482115247110529	-3.74526561415815	-9.91469045123205	-2.29285618904409	-7.82962057566158
6332	-0.532090930955799	-4.15227808560782	-9.94177397589696	-2.00520271542269	-8.90079701281209
6333	-0.467381883838614	-3.83313530281576	-9.91962383961166	-2.30098790433417	-8.58510106544903
6334	-0.573580724792564	-3.53154221923542	-10.5062548757302	-2.07508958027559	-8.13073166590226
6335	-0.394289800662042	-3.67167486476757	-9.66174095614327	-2.66596590579186	-9.06836310729848
6340	-0.406634422906355	-3.43092310182198	-10.4105032221339	-2.7342449358005	-9.05690663398149
6341	-0.497337408983555	-3.85145881765279	-10.7686343206409	-2.18828901786281	-8.74899379709602
6342	-0.434604413210602	-3.71133289420417	-10.6080692791904	-2.46848458750668	-8.6804366072109
6343	-0.285967081518534	-3.88400478323973	-9.47988055249627	-3.20323934871867	-8.8950483999009
6344	-0.521013406624757	-3.58963505009588	-10.2409082606778	-2.20827788698855	-8.46236030558843
6345	-0.541401239174243	-3.55132050465854	-10.535959485391	-2.17056535699535	-7.70268206825172
6346	-0.310982127528728	-3.94161861380447	-9.5384624162211	-3.00851134880641	-8.28021346750623
6347	-0.58415286800317	-3.88657286962667	-9.56190778636572	-1.94326689684158	-7.96690439833035
6348	-0.403460531312798	-3.09206470693926	-8.60681571013192	-3.03548802859171	-8.8565790561171
6349	-0.431386968689128	-3.81771124745614	-10.4188687548127	-2.44149767305484	-8.52702431429124
6351	-0.429464117952436	-2.96172482849916	-9.28012641380078	-3.00466048577802	-8.43147669767881
6355	-0.376921176591645	-3.9563736114256	-10.7799001971492	-2.61887546511804	-8.86912791788484
6356	-0.427569028663992	-4.09667955273553	-10.4579790643253	-2.3630066905443	-8.40950077093072
6357	-0.444609371616605	-3.85382953203918	-9.95077472499474	-2.36871245078032	-9.45613949310241
6359	-0.37299355557275	-4.15430676255436	-10.475151559111	-2.56325413147014	-9.14598881857957
6370	-0.501312323650842	-3.30526447741117	-9.13864255108704	-2.41483429447871	-8.34574886789514
6371	-0.795231595310705	-1.79956912857982	-10.5950920550419	-2.92061033548518	-8.05079340618793
6375	-0.550956499329131	-3.83581568744375	-10.1028222792244	-2.04121839546371	-8.14552832732599
6376	-0.348621367187024	-4.64210675346339	-9.89579223310197	-2.54777143621116	-8.61610837637152
6378	-0.533759376950237	-3.98981362954843	-8.79011533384605	-2.05080908088048	-8.53439911449486
6380	-0.517508172716693	-4.03288975642553	-9.67554039762179	-2.0904868425026	-7.85908140108816
6381	-0.511495413771412	-3.8532120325127	-9.49770355293797	-2.15879034741352	-7.97157575187201
6382	-0.459610815530742	-4.10403185834425	-9.84416218399127	-2.25128718578945	-8.14154552111727
6383	-0.479762002769779	-2.79534643679864	-10.3787647214119	-2.88974977669828	-8.29907724514398
6385	-0.554391663168845	-4.09695230259589	-8.75238224904816	-1.97220877001469	-8.18479670701485
6386	-0.799039613568091	-1.64905235835322	-9.67219180747325	-3.30536591878758	-7.9519557430405
6387	-0.638536767915248	-2.93461247662016	-8.78095493995195	-2.17291561926536	-8.47792964599009
6388	-0.916724236000958	-1.60601422297639	-9.65104642304038	-2.89927431681113	-7.26488990456855
6389	-0.400183881573827	-4.29933901085045	-10.1625136104207	-2.39995623524461	-9.81988376172804
6411	-0.703364113952326	-2.18604045127939	-9.44177450124179	-2.65024348464688	-7.53907364799428
6412	-0.452288120040686	-3.09333574618349	-9.77626522851482	-2.75649636949474	-8.46767285894855
6415	-0.50701056654655	-3.34415696292562	-9.34897516226764	-2.37285624543769	-8.26381608605528
6416	-0.543744666317433	-2.64556187447165	-9.62127024612612	-2.75547928276472	-7.68961592104093
6417	-0.669166887644785	-3.22465679657274	-8.64781168574146	-1.95707693398881	-7.92575731321307
6418	-0.192376283034639	-4.32477842288576	-9.92420201543473	-3.77088876732438	-10.5886842963897
6419	-0.408240742153075	-4.04237654856237	-10.2415371644812	-2.44805042848436	-9.21456468993185
6420	-0.175219170128673	-4.35569454634253	-8.52740004176232	-4.04998365948073	-8.67782435900623
6421	-0.678217343775179	-1.94083556535266	-10.07311140154	-3.17903919712884	-8.26189836082764
6423	-0.596431932527773	-3.72768536325503	-8.94113973565653	-1.95179687291058	-8.58738796672917
6425	-0.521546121503087	-3.99599190711816	-9.37864925597248	-2.07516887325363	-9.04644982955073
