MouseID	Batch	Promethion_Position	StartDate	StartTime	EndTime	Cycle_Hrs	Day	Cycle	Age_months	Genotype	ID_code	InitMass_g	BP_kPa	TempC	RH_pct	Avg_EE	Tot_EE	Avg_VO2	Avg_VCO2	Avg_RER	Avg_VH2O	R_EE_30	R_RER_30	QR_EE_30	QR_RER_30	Rdur_hrs	A_EE_15	A_RER_15	QA_EE_15	QA_RER_15	Adur_hrs	AccessA_pct	UptakeA_g	UptakeA_N	UptakeA_Sum	UptakeA_min	InterUptakeA_min	UptakeWA_g	UptakeWA_N	UptakeWA_Sum	UptakeWA_min	InterUptakeWA_min	BodyMass_g	BodyMass_SD	YBreaks	XBreaks	ZBreaks	AllMeters	PedMeters	PedSpeed	Walk_pct	Still_pct	Sleep_pct	Sleep_hrs
6326	mB2	12	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5976374	7.171976	1.995377	1.89588	0.9480142	0.2529196	0.4268259	0.9040431	0.4594448	0.9326579	0.5	0.9206388	0.9588884	0.8684409	0.9529693	0.25	0.9480142	0.1839648	35	6.438768	2.723333	15.80098	0.1222204	24	2.93329	1.008333	26.16377	0	0	13183	6240	1292	54.72995	31.92838	0.01882236	8.490151	71.43022	56.1049	6.732917
6317	mB2	11	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.6447405	7.737289	2.155021	2.036831	0.9416089	0.2770593	0.4331862	0.9238958	0.4528297	0.8459861	0.5	0.8484485	0.9814373	0.7768281	0.9648281	0.25	0.9416089	0.1444896	33	4.768157	2.842929	14.76979	0.1230017	27	3.321046	1.00679	20.70577	0	0	16220	6886	2100	79.1243	53.48248	0.02375337	12.62644	66.59491	51.2881	6.154722
6323	mB2	2	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.4704047	5.645166	1.58525	1.439969	0.9043862	0.1863623	0.3112404	0.8848135	0.3615488	0.8385763	0.5	0.7246685	0.9412858	0.6972809	0.9286977	0.25	0.9043862	0.09209521	29	2.670761	2.732759	17.45238	0.08060802	22	1.773376	1.159848	25.4754	0	0	5881	4446	4236	39.5134	30.1243	0.02460395	4.798278	86.92684	86.38289	10.36639
6333	mB2	13	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.6023049	7.22805	2.021567	1.872894	0.9189473	0.2493734	0.3647702	0.9292196	0.3954685	0.8287919	0.5	0.8356913	0.9492421	0.7667157	0.9398989	0.25	0.9189473	0.1860142	72	13.39302	2.751157	4.856808	0.04451837	63	2.804657	0.7481481	7.845161	0	0	17776	9619	8588	112.5291	83.9519	0.02616123	15.26514	62.05587	56.87568	6.825278
6318	mB2	9	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	26.64686	41.35294	0.606832	7.28233	2.037267	1.885167	0.9223746	0.238092	0.3906351	0.9357178	0.4243714	0.9118993	0.5	0.8547952	0.9525977	0.770846	0.9469867	0.25	0.9223746	0.1512149	49	7.40953	2.778231	9.678473	0.1170471	25	2.926178	1.479333	23.47431	0	0	18981	8027	3899	92.09552	61.47638	0.02099175	15.06608	61.12307	48.37858	5.805695
6328	mB2	16	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5151729	6.182324	1.730292	1.597772	0.9185218	0.1777401	0.347927	0.877674	0.3968233	0.7938235	0.5	0.7920185	0.9529831	0.6840888	0.9306186	0.25	0.9185218	0.07493705	27	2.0233	3.860494	15.47436	0.07330322	31	2.2724	1.047849	15.90833	0	0	10786	5240	8898	76.64838	57.90411	0.0247323	13.46666	76.0387	72.63848	8.716945
6327	mB2	10	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5219226	6.263506	1.753903	1.615351	0.9186886	0.2048016	0.3470295	0.9000192	0.4101279	0.8370695	0.5	0.7528126	0.9629381	0.7244663	0.9488064	0.25	0.9186886	0.1041943	44	4.584549	2.932576	9.892248	0.07629985	31	2.365295	1.46129	16.73111	0	0	11198	8416	8711	86.83569	66.84402	0.02908407	11.62882	72.31905	68.25221	8.190556
6335	mB2	1	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	27.10437	40.16497	0.5860214	7.032603	1.9684	1.816959	0.9150478	0.2599441	0.3246674	0.8211395	0.3557616	0.8306536	0.5	0.8072019	0.9387765	0.7394352	0.9532928	0.25	0.9150478	0.05999608	62	3.719757	2.08414	6.438798	0.07804871	48	3.746338	1.48125	9.395744	0	0	20184	12292	4756	124.5938	90.60757	0.02326842	20.19767	56.48913	41.96468	5.035833
6324	mB2	8	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.622283	7.467808	2.089229	1.932851	0.9217415	0.2533072	0.4169296	0.8597692	0.4617268	0.9038395	0.5	0.8386878	0.9514454	0.7368576	0.9444408	0.25	0.9217415	0.1842064	53	9.762939	2.60283	10.075	0.07918295	45	3.563233	1.09963	11.37955	0	0	16991	14756	4139	105.9483	72.18604	0.02560797	16.02667	57.5886	43.55485	5.226806
6334	mB2	14	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.6037093	7.245004	2.021668	1.893697	0.9315215	0.2299648	0.3698122	0.8308543	0.3705992	0.8266892	0.5	0.927925	0.9563087	0.7756524	0.9668962	0.25	0.9315215	0.1515629	52	7.881271	3.631731	7.34085	0.09827155	37	3.636047	1.195045	14.27176	0	0	15629	7836	4342	75.96732	50.27649	0.02370603	11.09414	63.55346	57.33398	6.880278
