MouseID	Deriv	S_2MetButyrate	Acetate	Butyrate	Caproate	Isobutyrate	Isovalerate	Propionate	Valerate	weight_CC_g	Extraction_round	Total_SCFA	Total_BCFA
5952	D3	0.51787688286544	38.9299718151017	5.79863942884802	0.0436850048402711	1.10221751210068	0.705888170377541	10.8398559922556	0.220951335914811	0.1033	E1	55.8331035769603	2.32598256534366
5953	D6	0.344481243972999	27.7627947878496	5.08892943587271	0.0470838862102218	0.761503230472517	0.467021648987464	9.18211449373192	0.205725154291225	0.1037	E2	42.2866477579556	1.57300612343298
5954	D12	0.432749541015625	31.8599430078125	2.87644733886719	0.041509501953125	0.834060639648437	0.528281318359375	8.23545138671875	0.087012431640625	0.1024	E2	43.1003636669922	1.79509149902344
6178	D8	0.402146262327416	47.3148275986193	4.99736772682446	0.0371920315581854	1.01769578895463	0.483639571005917	11.9242846055227	0.158899186390533	0.1014	E2	64.4325711489152	1.90348162228797
6179	D9	0.361008088235294	35.633187	5.34570470098039	0.0580949509803922	0.758126348039216	0.546493024509804	11.6053025196078	0.261030779411765	0.102	E2	52.9033199509804	1.66562746078431
6180	D10	0.446823436293436	32.0689879391892	2.21715546814672	0.051183166023166	0.943028643822394	0.594673088803089	8.02912234073359	0.0938398552123552	0.1036	E2	42.460288769305	1.98452516891892
6181	D3	0.741548199419167	27.1173835188771	3.20753862052275	0.0344083543078412	1.00374862536302	0.865654365924492	9.05850209583737	0.129849486931268	0.1033	E1	39.5476820764763	2.61095119070668
6182	D11	0.561873326752221	19.0615423198421	2.37702675715696	0.0538354294175716	1.07758386969398	0.72327988153998	7.84080574037512	0.134319160908193	0.1013	E2	29.4675294076999	2.36273707798618
6183	D7	0.799566100099108	24.7652486075322	3.72970293855302	0.0585910208126858	1.01977240832507	0.961956437066402	8.53191408820615	0.15690432111001	0.1009	E2	37.2423609762141	2.78129494549058
6188	D4	0.255792417475728	59.5327636990291	7.88272858737864	0.0679483300970874	0.981864354368932	0.496807582524272	14.4967033592233	0.219352878640777	0.103	E1	82.1994968543689	1.73446435436893
6189	D5	0.464918520916335	24.0155481324701	2.19453628984064	0.043584093625498	0.719010866533864	0.54175250498008	8.28614389442231	0.0832059362549801	0.1004	E2	34.6230183466135	1.72568189243028
6190	D9	0.445594550669216	41.4396993068834	4.3106501959847	0.041581051625239	0.902900129063097	0.592241687380497	12.1971342829828	0.143729622370937	0.1046	E2	58.132794459847	1.94073636711281
6191	D4	0.636140662414132	47.2347472473013	5.09441223258096	0.0847731599607458	1.21526838567223	0.929375250245339	12.0062656771344	0.200608017664377	0.1019	E1	64.6208063346418	2.7807842983317
6192	D2	0.728192973632812	63.3544582519531	5.91921021972656	0.05518046875	1.41323054199219	0.920003247070312	18.7115855517578	0.1694099609375	0.1024	E1	88.209844453125	3.06142676269531
6193	D16	0.991836296296296	24.4135690350877	3.4226234454191	0.060048567251462	1.39423257309942	1.3458543079922	10.8765628508772	0.123802261208577	0.1026	E3	38.896606159844	3.73192317738791
6291	D15	0.660762445972495	25.8226804174853	3.13915362475442	0.0635127406679764	0.881713069744597	0.78641594302554	8.60810144400786	0.0659501178781925	0.1018	E3	37.6993983447937	2.32889145874263
6292	D10	0.531415797244094	37.2847989616142	4.30977823326772	0.0422714271653543	0.873431053149606	0.673851948818898	10.5042948031496	0.108068681102362	0.1016	E2	52.2492121062992	2.0786987992126
6293	D11	0.654648282630029	29.6621947595682	5.42422696761531	0.0530949558390579	0.987305485770363	0.859003042198234	10.0419643326791	0.24000058390579	0.1019	E2	45.4214815996075	2.50095681059863
6294	D12	0.146201736997056	38.0500230569185	4.78148564278705	0.0623055348380765	0.555831584887144	0.36132609421001	7.9692615063788	0.13523923454367	0.1019	E2	50.9983149754661	1.06335941609421
6295	D16	0.67198313503305	24.8622254249292	3.05214142115203	0.0443448253068933	1.08048171860246	0.994816397544854	7.51941157223796	0.130015278564684	0.1059	E3	35.6081385221907	2.74728125118036
