feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz303.218513028842_rt1059.24	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.535366441016299	0.149447369699924	45	45	0.000978780290738344	0.00968130851373238
mz112.519042835495_rt1736.601	Metabolomics_Round	R3	-0.973684996706287	0.12199312487672	45	45	0.000980411068166662	0.00968785640480892
mz399.330092036428_rt1233.239	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.163612120412591	0.0460041736863667	45	45	0.000984279268082597	0.00970591029964832
mz515.815149748365_rt1756.491	Metabolomics_Round	R3	1.0186088439785	0.110391198791459	45	45	0.000985149895414305	0.00970591029964832
mz108.039998216837_rt239.059	Metabolomics_Round	R3	0.443446853827895	0.124684793752283	45	45	0.00098405039370143	0.00970591029964832
mz318.970117728849_rt276.0605	Metabolomics_Round	R3	1.01817958688323	0.115840556941398	45	45	0.000993163843839127	0.00977523468345598
mz268.175783434207_rt1489.569	Metabolomics_Round	R3	-0.435563485862367	0.122602617917006	45	45	0.000995174135731425	0.00977577736474878
mz484.330808340832_rt1351.5635	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.255798191683681	0.0714359524943888	45	45	0.000994795391312997	0.00977577736474878
mz585.270994389987_rt997.0965	Metabolomics_Round	R3	-1.5176921200058	0.427243886107303	45	45	0.000996204660168531	0.00977629695945565
mz184.133311521311_rt308.934	Metabolomics_Round	R3	1.23702437597216	0.34830401817812	45	45	0.000998274412594169	0.00978700404504087
mz315.195622212511_rt1070.5385	Metabolomics_Round	R3	-1.15627853005651	0.325704664854193	45	45	0.0010025476174492	0.00980966357582387
mz690.532124060631_rt269.63	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.099261269020174	0.0279594068822882	45	45	0.00100223155625613	0.00980966357582387
mz458.785958396637_rt267.374	Metabolomics_Round	R3	0.199965103462138	0.0563328091611301	45	45	0.00100362682127708	0.00981062386390111
mz164.955710233914_rt301.3065	Metabolomics_Round	R3	0.935544777351186	0.263781805805128	45	45	0.00101247816078355	0.00987783571496148
mz795.842144730861_rt5.102	Metabolomics_Round	R3	-0.259797698913938	0.0732513210341823	45	45	0.00101247584615395	0.00987783571496148
mz166.083660297956_rt297.524	Metabolomics_Round	R3	5.15673275820415	0.428766293425196	45	45	0.00101917635944046	0.00988725161229712
mz99.5122417115224_rt1736.203	Metabolomics_Round	R3	-1.01163025955963	0.132719408298226	45	45	0.00101672488937972	0.00988725161229712
mz570.457563730322_rt1540.605	Metabolomics_Round	R3	1.5659082876594	0.202012864959763	45	45	0.00101623872033571	0.00988725161229712
mz327.214744552288_rt1475.544	Metabolomics_Round	R3	-0.811395012581849	0.228904835995583	45	45	0.00101826482001474	0.00988725161229712
mz176.022584276465_rt239.09	Metabolomics_Round	R3	1.27392950636556	0.161422403233931	45	45	0.00101937564122783	0.00988725161229712
mz657.122988360241_rt306.8165	Metabolomics_Round	R3	-0.555989116635683	0.156845966435865	45	45	0.00101789223567277	0.00988725161229712
mz170.041721886347_rt308.787	Metabolomics_Round	R3	1.92737621520292	0.267310594217847	45	45	0.00102251721360312	0.00990238033411125
mz198.042256647721_rt239.041	Metabolomics_Round	R3	1.25500498849484	0.156769229463474	45	45	0.00102291588851369	0.00990238033411125
mz692.834102014488_rt1726.596	Metabolomics_Round	R3	-1.04992374063892	0.132777223348903	45	45	0.00102509090350746	0.00991383852521719
mz226.951589369993_rt6.1045	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.123501976615773	0.0346548612000506	45	45	0.00102913654346495	0.00993375041954582
mz111.521349153619_rt1736.32	Metabolomics_Round	R3	-0.928142948651727	0.117756515324269	45	45	0.0010288439908334	0.00993375041954582
mz771.854624228273_rt260.3135	Metabolomics_Round	R3	0.244400380752799	0.0690821532577677	45	45	0.00103857375211418	0.0100151760088156
mz271.246128196438_rt1480.27	Metabolomics_Round	R3	-1.21121166252058	0.157796006476177	45	45	0.00104084514625727	0.0100274098868716
mz440.869275478734_rt10.167	Metabolomics_Round	R3	-1.42892996701545	0.177012733162431	45	45	0.00104279369746757	0.010036512968889
mz122.08130745862_rt635.997	Metabolomics_Round	R3	-0.76131468700985	0.215688024414778	45	45	0.00106311150043587	0.0102124063442447
mz666.891145711098_rt247.177	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.17209646347459	0.0487544082133962	45	45	0.00106261777757709	0.0102124063442447
mz133.105318717208_rt446.675	EE_average_per_hour_residual	EE_average_per_hour_residual	-0.199800306058669	0.0566472808291749	45	45	0.00107111294124357	0.0102742458138677
